Adela_purpurea	Andrena_alleghaniensis	Andrena_bradleyi	Andrena_carlini	Andrena_carolina	Andrena_mandibularis	Andrena_regularis	Andrena_vicina	Apis_mellifera	Bombus_terricola	Colletes_inaequalis	Cyphon_variabilis	Dialictus_pilosus	Dilophus_caurinus	Eristalis_dimidiata	Helophilus_fasciatus	Helophilus_laetus	Helophilus_latifrons	Hybomitra_minuscula	Hybomitra_typhus	Macrodactlyus_subspinosus	Melanostoma_sp1_M_PL_033	Pyrobombus_impatiens	Pyrobombus_perplexus	Pyrobombus_sandersoni	Pyrobombus_ternarius	Pyrophaena_rosarum	Sercomyia_transversa	Shaerophoria_sp1_M_PL_033	Spilogona_fatima	Syritta_pipiens	Syrphus_torvus	Thymelicus_lineola	Toxomerus_marginatus	
Andromeda_glaucophylla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
Aronia_melanocarpa	0	3	0	0	0	0	7	1	0	0	2	0	7	0	2	2	3	1	0	0	0	1	0	2	2	1	0	0	8	0	14	13	0	0
Calopogon_pulchellus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14
Chamaedaphne_calyculata	0	0	25	6	0	1	4	19	0	0	6	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	7	0	0	0	0
Gaylussacia_baccata	0	0	4	0	5	0	7	29	1	7	0	0	0	0	7	3	0	4	0	1	0	0	3	0	14	6	0	23	0	0	0	0	0	0
Kalmia_angustifolia	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	2	3	1	2	0	0	3	0	0	0
Kalmia_polifolia	0	0	2	0	0	13	6	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	1	3	0	4	0	0	0	0	0	0
Ledum_groenlandicum	0	2	0	1	4	9	31	11	0	22	3	0	0	0	5	4	4	14	0	0	0	0	5	0	3	9	1	2	4	0	0	0	0	0
Nemopanthus_mucronata	0	6	0	2	0	7	1	4	1	0	0	0	1	87	0	0	0	0	0	0	0	15	0	0	0	1	2	0	0	4	0	1	0	0
Salix_fragilis	20	0	5	1	1	0	0	11	1	3	51	37	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	1	0	0	0	0
Smilacina_trifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	6	0	2	1	1	0	0	0
Spiraea_alba	0	0	0	0	0	0	0	0	0	36	0	0	0	0	4	0	3	0	12	0	15	0	1	2	2	7	1	0	0	0	1	0	3	0
Vaccinium_myrtilloides	0	0	12	1	6	1	10	7	20	14	11	0	0	0	0	0	0	0	0	0	0	0	17	14	7	16	0	1	0	0	0	0	0	0
